coins,2,6,100,2,6,1000,6,6,100,3,6,10
score,object_num_mult,object_dice,object_worth,object,magic_item_num,magic_item_dice,magic_item_table,,,,,
4,0,0,0,z,0,0,z,,,,,
10,2,4,25,art,0,0,z,,,,,
16,3,6,50,gems,0,0,z,,,,,
22,3,6,100,gems,0,0,z,,,,,
28,2,4,250,art,0,0,z,,,,,
32,2,4,25,art,1,6,A,,,,,
36,3,6,50,gems,1,6,A,,,,,
40,3,6,100,gems,1,6,A,,,,,
44,2,4,250,art,1,6,A,,,,,
49,2,4,25,art,1,4,B,,,,,
54,3,6,50,gems,1,4,B,,,,,
59,3,6,100,gems,1,4,B,,,,,
63,2,4,250,art,1,4,B,,,,,
66,2,4,25,art,1,4,C,,,,,
69,3,6,50,gems,1,4,C,,,,,
72,3,6,100,gems,1,4,C,,,,,
74,2,4,250,art,1,4,C,,,,,
76,2,4,25,art,1,0,D,,,,,
78,3,6,50,gems,1,0,D,,,,,
79,3,6,100,gems,1,0,D,,,,,
80,2,4,250,art,1,0,D,,,,,
84,2,4,25,art,1,4,F,,,,,
88,3,6,50,gems,1,4,F,,,,,
91,3,6,100,gems,1,4,F,,,,,
94,2,4,250,art,1,4,F,,,,,
96,3,6,100,gems,1,4,G,,,,,
98,2,4,250,art,1,4,G,,,,,
99,3,6,100,gems,1,0,H,,,,,
100,2,4,250,art,1,0,H,,,,,
